tweet,sentimen,clean_tweet
"Mereka seperti pimp era sebelumnya mulai soeharto memainkan bahan pokok murah, BBM, listrik murah dari mana duitnya dari hutang jg. Skrg era @jokowi mengurangi subsidi tapi u/ membangun infrastruktur, pemb pasti ada dampak ekonominya jg",positif,pimp era belum_mulai soeharto main bahan pokok murah bbm listrik murah mana duit hutang sekarang era jokowi kurang_subsidi u bangun infrastruktur pemb dampak ekonomi
Jokowi dan Salman sepakati peningkatan kerja sama ekonomi - ANTARA News Jawa Barat  https://jabar.antaranews.com/berita/92587/jokowi-dan-salman-sepakati-peningkatan-kerja-sama-ekonomi#.XLNN83UWAlo.twitterÂ â€¦,netral,jokowi salman sepakat tingkat kerja sama ekonomi news jawa barat
Junjungannya tahu ekonomi makro main mobile legend deh #YourTurnBro,netral,junjung tahu ekonomi makro main mobile legend deh yourturnbro
Dengan memilih prabowo sandi anda akan beramal selama 5 th Karena gaji mereka akan disumbangkan untuk kaum dhuafa dan anak yatim Aamiin... ðŸ‘†ðŸ‘† #TheGreatCampaignOfPrabowo,positif,pilih prabowo sandi amal lama th gaji sumbang kaum dhuafa anak yatim aamiin thegreatcampaignofprabowo
"Beneran gk akan ambil gaji? Sumpah pocong dulu sblm berjanji, gmn?...ðŸ˜œ",negatif,beneran tidak_ambil gaji sumpah pocong dulu sblm janji gmn
Masuk akal bagi prabowo sandi karena sandiaga uno ga pernah ambil gaji waktu jadi wakil gubernur,positif,masuk akal prabowo sandi sandiaga uno tidak_pernah ambil gaji waktu jadi wakil gubernur
@DivHumas_Polri  Gakan di ladenin sama pak pulisi   Karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama RAKYAT!!!  lapor nya nanti aja tunggu udah ganti presiden   #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrut,negatif,divhumaspolri gakan ladenin sama pak pulisi karna pak pulisi gaji sama jokowi pake duit jokowi buka sama rakyat lapor nya tunggu udah ganti presiden uasdifitnahkejidanbrutal uasdifitnahkejidanbrutal uasdifitnahkejidanbrut
"Nampaknya cara @sandiuno ini sudah ditungguin oleh Jokowi karena tipenya dari debat 1 selalu menyebut contoh ekonomi dg nama ibu2 .....Begitu di debat ini sandi mulai melayangkan bola langsung di Smesh oleh Jokowi...Game Over,  Skak Matt... Mantul pak Eko..ðŸ‘  https://twitter.com/permadiaktivis/status/1117087950716559360Â â€¦",positif,nampaknya cara sandiuno ditungguin jokowi tipe debat selalu sebut contoh ekonomi nama ibu debat sandi mulai layang bola langsung smesh jokowigame over skak matt mantul pak eko
"Gaji Presiden / wapres Gak gede2 amat... Jauh lebih gede gaji Presdir bank / BUMN , Gak ngaruh. Rakyat yg butuh janji kek gitu",negatif,gaji presiden wapres gak_gede sangat jauh lebih gede gaji presdir bank bumn gak_ngaruh rakyat butuh janji kek gitu
"Video dengan sudut pandang berbeda, mau @jokowi atau @prabowo sama saja.   https://youtu.be/qlB7vg4I-ToÂ   Video yg membahas secara real masalah energi, sosial, lingkungan, ekonomi, politik, dan budaya dari batubara.",netral,video sudut pandang beda jokowi prabowo sama video bahas real masalah energi sosial lingkung ekonomi politik budaya batubara
Wkwkwk.. Ketika PRABOWO bilang bahwa kehancuran ekonomi ini bukan salah pak jokowi tapi salah presiden sebelum nya.. Kulihat wajah @AgusYudhoyono langsung kecut...ðŸ˜‚ðŸ˜‚ðŸ˜‚,negatif,wkwkwk prabowo bilang hancur ekonomi bukan_salah pak jokowi salah presiden nya lihat wajah agusyudhoyono langsung kecut
"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Beberapa penghargaan yg dianugerahkan kepadanya, jadi bukti bahwa @jokowi merupakan sosok pemimpin yg diakui integritasnya.",positif,pilihorangbaik pilihjelasislamnya pilihbajuputih beberapa harga anugerah kepada jadi bukti jokowi rupa sosok pimpin aku integritas
Bahas harga pisang yang naik turun,positif,bahas harga pisang naik turun
adakah yang punya tulisan dari media atau apapun itu (medianya yg netral ya bukan media yang pro sana sini) mengenai kekuatan dan kelemahan pemerintahan pak jokowi di bidang ekonomi?,netral,ada punya tulis media apa media netral bukan_media pro sana sini kena kuat lemah perintah pak jokowi bidang ekonomi
"Anda mgkin tipe orang yang dokrin nya bahwa unk menghasilkan uang harus menjadi pekerja/makan gaji,,dan itu di akui sebagai pola pikir kita mayoritasnya,itu sebabnya kita banyak yg jdi babu pekerja asing..",negatif,mgkin tipe orang dokrin nya unk hasil uang jadi pekerjamakan gajidan aku pola pikir mayoritasnyaitu sebab banyak jdi babu kerja asing
"Seharusnya bahas EKONOMI, Lap pekerjaan.. Mosok sekelas preaident amatiran gtu, atau jngan jangan ðŸ¤”ðŸ¤”ðŸ¤” emang gag ngerti gag kelas lah ðŸ˜‚ðŸ˜‚",negatif,bahas ekonomi lap kerja mosok kelas preaident amatir gtu jngan jangan_emang gag erti gag kelas lah
Ngakunya... ya ngakunya... Prabowo perhatian pada rakyat kecil. Ini baru HOAX yang sebenarnya. Karyawannya di PT Kiani Kertas Nusantara terkatung-katung tanpa gaji dan THR. Selesaikan dulu masalahmu Bowok... sebelum menyelesaian masalah rakyat kecil.  https://www.google.com/amp/s/m.bisnis.com/amp/read/20190226/15/893349/-pt-kertas-nusantara-tak-mampu-gaji-1.400-karyawannyaÂ â€¦,negatif,ngakunya ngakunya prabowo perhati rakyat kecil baru hoax benar karyawannya pt kiani kertas nusantara terkatungkatung gaji thr selesai dulu masalah bowok selesai masalah rakyat kecil
"Ga laku semuan pernyataan mu mas, masyarakat sudah cerdas, kami sudah muak atas ketidak adilan, ketidak pastian hukum, ketidakpastian ekonomi orang kecil. anti kritik dan pembatasan kebebasan berpendapat ! Semoga allah memberikan hidayah kepada kita semua. Kami ingin perubahan.",negatif,tidak_laku semu nyata mu mas masyarakat cerdas muak atas tidak_adil tidak_pasti hukum ketidakpastian ekonomi orang kecil anti kritik batas bebas dapat moga allah beri hidayah semua ubah
mkin yg d maksud kiani kertas ga mampu bayar gaji buruhz kali...?ato kiani kertas g produksi kertas tp produksi utang k karyawabx,netral,mkin d maksud kiani kertas tidak_mampu bayar gaji buruhz kaliato kiani kertas g produksi kertas produksi utang k karyawabx
"Berapa sih gaji presiden dan wakil presiden? Berapa sih tunjangannya? Kalau kalian mengatakan tdk akan ambil sepeserpun gaji dan tunjangan baru hebat. Itu baru jualan, klu hanya gaji itu namanya jualan basi.",negatif,berapa sih gaji presiden wakil presiden berapa sih tunjang kalau kalian kata tidak_ambil peser gaji tunjang baru hebat baru jual klu gaji nama jual basi
Monggo silahkan..itu hak anda...hargai juga kami yg inginkan perubahan lebih baik...,netral,monggo silahkanitu hak andahargai ingin ubah lebih baik
"pokonya ekonomi meroket lah, hidup mobile legend, #2019gantipresiden #kumsi",negatif,poko ekonomi roket lah hidup mobile legend gantipresiden kumsi
"Kalo dari Lampung ke Aceh makan waktu 4 hari 4 Malam pake jalan umum. Kalau pake tol 1 hari. Bensin irit, barang cepat sampai, transport Bahan pangan jadi murah. Harga bahan pokok murah. Terus yang bikin harga bahan pokok naik dimana?",netral,kalo lampung aceh makan waktu hari malam pake jalan umum kalau pake tol hari bensin irit barang cepat transport bahan pangan jadi murah harga bahan pokok murah terus bikin harga bahan pokok naik
Adil makmur Gak korupsi Gak ambil gaji  #YourTurnBro @prabowo @sandiuno,positif,adil makmur gak_korupsi gak_ambil gaji yourturnbro prabowo sandiuno
"Jika Terpilih, Prabowo-Sandi Nyatakan Tidak Akan Ambil Gaji  http://m.hebatriau.com/read-9103-2019-04-14-jika-terpilih-prabowosandi-nyatakan-tidak-akan-ambil-gaji.htmlÂ â€¦",netral,pilih prabowosandi nyata tidak_ambil gaji
100% Gaji Presiden dan Wapres di sedekahkan ðŸ˜ðŸ˜  Ayo semua ke TPS...!!  Tusuk Prabowo Sandi !!  #minggudepanPresidenBaru ðŸ˜ðŸ˜  https://www.facebook.com/1627388573/posts/10212206941561882/Â â€¦,positif,gaji presiden wapres sedekah ayo semua tps tusuk prabowo sandi minggudepanpresidenbaru
"kapal oleng â€œAku ingin begini, aku ingin begitu.. ingin ini ingin itu banyak sekali...   Semua semua semua, dapat dikabulkan. Dapat dikabulkan dengan sumbangan ajaib.   Aku ingin harga murah, petani sejahtera. Hei, oke oce jawabannya!â€ ðŸŽ¶ðŸŽµ Prabowo Sandi Campaign 2019.  https://twitter.com/ajetedualapan/status/1117091794045390851Â â€¦",positif,kapal oleng aku begini banyak sekali semua semua semua kabul kabul sumbang ajaib harga murah tani sejahtera hei oke oce jawab prabowo sandi campaign
"Namun, sebagai anak seorang ahli ekonomi, fenomena ransel besar Prabowo juga sesuatu yang wajar bagi Yunus. prabowo sandiuno #PrabowoSandi #IndonesiaMenang #IndonesiaAdilMakmur",netral,anak orang ahli ekonomi fenomena ransel besar prabowo wajar yunus prabowo sandiuno prabowosandi indonesiamenang indonesiaadilmakmur
"Iya isi dompet gue kaya ekonomi Indonesia, kalo kata Pak @prabowo salah jalan.  Makanya sekarang dompet udah gue pasangin kompas. Belum pake gps, masih ngumpulin modalnya dulu.",negatif,iya isi dompet kaya ekonomi indonesia kalo kata pak prabowo salah jalan makanya sekarang dompet udah pasangin kompas belum_pake gps ngumpulin modal dulu
"Pertumbuhan ekonomi itu salah satu indikator keberhasilan pemerintah, jangan hanya krn tdk tercapai trs mengabaikannya. Coba kalu skrg pertumbuhan ek kita 10% pasti bpk jual buat kampanye. Bukankah begitu?",negatif,tumbuh ekonomi salah satu indikator hasil perintah jangan_tidak capai terus abai coba kalu sekarang tumbuh ek bpk jual buat kampanye bukankah
"Ya udah lu urusin aja esprot sm jkw, biar prabowo yg ngurusin ketahanan pangan rakyat Indonesia, sejarah mencatat presiden RI dgn penduduk 250juta mikirin mobile legend ketimbang harga2 sembako yg mahal & bahan2 pangan yg import dinegara kaya maritim #UASdifitnahKejiDanBrutal",negatif,udah kamu urusin esprot sama jkw biar prabowo ngurusin tahan pangan rakyat indonesia sejarah catat presiden ri duduk juta mikirin mobile legend ketimbang harga sembako mahal bahan pangan import negara kaya maritim uasdifitnahkejidanbrutal
"Terimakasih Bapak Prabowo Subianto dan bang Sandiaga Uno Salahuddin Uno,gaji BPK ""tdk akan diambil dan untuk kepentingan masyarakat Indonesia, terimakasih dan terimakasih . rakyat Indonesia menanti bapak sebagai PRESIDEN INDONESIA yg adil makmur dr Sabang sampai Merauke",positif,terimakasih bapak prabowo subianto bang sandiaga uno salahuddin unogaji bpk tidak_ambil penting masyarakat indonesia terimakasih terimakasih rakyat indonesia nanti bapak presiden indonesia adil makmur sabang merauke
Ketika wanita lain cerewat pada suaminya #TerimaKasihIstriku Yang masih belum tau sekarnag dimana kamu hanya cerewet sama tukang sayur yang harganya naik. @jokowi,negatif,wanita cerewat suami terimakasihistriku belum_tau sekarnag kamu cerewet sama tukang sayur harga naik jokowi
"Hahahaha, sebuah negara memiliki skala prioritas bang, mana yg bernilai keekonomian secara makro mana yg nano atau piko. Saat ini kita sangat tergantung pada impor, baik bahan baku, pangan, atau elektronik. Itu dulu yg dikejar. Pertumbujan ekonomi stagnan...",positif,hahahaha buah negara milik skala prioritas bang mana nila ekonomi makro mana nano piko sangat gantung impor baik bahan baku pangan elektronik dulu kejar pertumbujan ekonomi stagnan
"Pemimpin yang sudah selesai dengan dirinya, sudah kaya materi gaji pun tidak diambil @prabowo @sandiuno",positif,pimpin selesai diri kaya materi gaji tidak_ambil prabowo sandiuno
Ibu Srimulyani tetap semangat  mereka yg ribut soal penghargaan Ibu karena mereka iri  Mereka gak pernah hasil kerjanya di akui oleh siapapun,netral,ibu srimulyani tetap semangat ribut soal harga ibu iri gak_pernah hasil kerja aku siapa
"Satu lagi ka , prabowo selalu bilang rakyat Indonesia miskin!!! Tapi ko bisa ngasih sumbangan Dan udh tau rakyatnya miskin kenapa Masih diterima smbngannya LOL ðŸ˜‚ðŸ˜‚ðŸ˜‚ pendukunya bilang ekonomi susah tapi bisa nyumbang gede ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ ngga sinkron",negatif,satu ka prabowo selalu bilang rakyat indonesia miskin ko beri sumbang tau rakyat miskin terima smbngannya lol duku bilang ekonomi susah nyumbang gede ngga_sinkron
"#JokowiMenangTotalDebat Dengan pemerataan pembangunan yang dilakukan Jokowi menjadi bukti Jokowi melakukan kemajuan untuk kawasan ekonomu kusus industri, pariwisata dan barangâ€ kerajinan. Untuk memperjuangkan ekonomi Indonesia.",positif,jokowimenangtotaldebat perata bangun laku jokowi jadi bukti jokowi laku maju kawasan ekonomu sus industri pariwisata barang rajin juang ekonomi indonesia
Sangat jelas skali kwalitas 02 yg cerdas dan berwawasan luas.  Debat tadi malam 02 menang mutlak ðŸ†ðŸ‘ 02 sangat layak memimpin bangsa ini. Gaji mereka relakan untuk fakir miskin dan kaum dhuafa,positif,sangat jelas skali kwalitas cerdas wawas luas debat tadi malam menang mutlak sangat layak pimpin bangsa gaji rela fakir miskin kaum dhuafa
"Nah kan itu akan mendorong ekonomi kreatif digital masyarakat yang mana memang sedang booming. Ga mungkin lah pak jokowi ngomong gitu gada maksud yg jelas, pemikiran dan sudut pandang kubu sebelah aja yg mohon maaf kurang kebuka dengan hal itu.",positif,nah kan dorong ekonomi kreatif digital masyarakat mana memang sedang booming tidak_mungkin lah pak jokowi bicara gitu gada maksud jelas pikir sudut pandang kubu belah mohon maaf kurang_buka
Jokowi Jawab Kritik Pertumbuhan Ekonomi 5% dan Pamerkan AkuisisiÂ Freeport  https://bhinnekanusantara.id/jokowi-jawab-kritik-pertumbuhan-ekonomi-5-dan-pamerkan-akuisisi-freeport/Â â€¦ pic.twitter.com/uelpK8Cxfd,netral,jokowi jawab kritik tumbuh ekonomi pamer akuisisi freeport pictwittercomuelpkcxfd
"Tnya sj pd diri anda jg apa msh sehat jg g anda? Semua harga ga cuma gas lpg aja yg sudah ada H.E.T Kalau anda mau harga 15-16rb.beli di pangkalan atau agen atau di SPBU yg menyediakan LPG Bnyk yg antri mlh. Desa baik"" aja mas,makane kl anda pgn duitnya bnyk,kerja keras masðŸ˜‚",netral,tnya sj diri apa msh sehat g semua harga tidak_cuma gas lpg het kalau harga rbbeli pangkal agen spbu sedia lpg banyak antri mlh desa baik masmakane kl duit bnykkerja keras mas
"Jika Jadi Presiden-Wapres, Gaji Prabowo-Sandi untuk Negara  http://dlvr.it/R2n0y6Â  pic.twitter.com/0le8yEzDDh",netral,jadi presidenwapres gaji prabowosandi negara pictwittercomleyezddh
"Prabowo meminta kita untuk mencontoh negara China, tapi pendukungnya menggoreng isu anti aseng.  SandiwaraUno memandang ekonomi Makro spt ekonomi ibu siska, ibu Cicih, ibu Dedeh...  HRS ..  Stresss dia kak Emma.",negatif,prabowo minta contoh negara china dukung goreng isu anti aseng sandiwarauno pandang ekonomi makro spt ekonomi ibu siska ibu cicih ibu dedeh stresss kak emma
"Presiden Joko Widodo (Jokowi) mengatakan, terkendalinya harga-harga komoditas pangan inti bisa dilihat dari tingkat inflasi. #2019JokowiKyaiMaruf #JokowiUntukIndonesiaMakmur #JalanSehatSarungan #PersijaDay  https://twitter.com/tag_nusantara/status/1058886381265608704/photo/1 pic.twitter.com/7oeqsQ40qbÂ ",netral,presiden joko widodo jokowi kata kendal hargaharga komoditas pangan inti lihat tingkat inflasi jokowikyaimaruf jokowiuntukindonesiamakmur jalansehatsarungan persijaday pictwittercomoeqsqqb
Paguyuban Suami-Suami Gaji Paspasan mengucapkan #TerimaKasihIstriku  karena ga pernah nuntut buat beliin tas Hermes. @jokowi,netral,paguyuban suamisuami gaji paspasan ucap terimakasihistriku tidak_pernah nuntut buat beliin tas hermes jokowi
Ekonomi syariah dan pariwisata halal lebih nyata dengan Pakde Jokowi sebagai Presiden,positif,ekonomi syariah pariwisata halal lebih nyata pakde jokowi presiden
Semua gaji Prabowo Sabdi akan di serahkan ke Negara dan kaum Duafa....  Pemimpin yang Mulia....,positif,semua gaji prabowo sabdi serah negara kaum duafa pimpin mulia
"mobile legend adalah permainan game online pak, pak jokowi ingin merangkul para2 gamers moba online, apakah itu penting dibahas pak, wong kita kekurangan duit aja masih bisa main moba, yang penting itu sembako murah harga pangan murah, bner yg disampaikan bg sandi debat td malam",negatif,mobile legend main game online pak pak jokowi rangkul gamers moba online penting bahas pak wong kurang_duit main moba penting sembako murah harga pangan murah bner sampai bg sandi debat td malam
"Bapak Jokowi, 2 Periode. HARGA MATI #photoshop #JohnWick pic.twitter.com/fKpeg7NHX2",positif,bapak jokowi periode harga mati photoshop johnwick pictwittercomfkpegnhx
Setuju... Ga ada harga dirinya lagi partai Demokrat...!! Jangan hanya memikirkan karena ada bu Mega di sisi Jokowi pak.. @SBYudhoyono Kehidupan dan masa depan bangsa lebih penting daripada emosi seseorang !,positif,tuju tidak_harga diri partai demokrat jangan_pikir bu mega sisi jokowi pak sbyudhoyono hidup masa depan bangsa lebih penting emosi orang
Baik kan tim nya pak Jokowi?..dikasih duit (katanya)..karena kami paham betapa gembel nya hidupnya kampret..makanya rela harga diri ditukar sama uang yg buat beli bensin mobil aja kagak cukup ðŸ¤­ðŸ¤­,negatif,baik kan tim nya pak jokowidikasih duit katanyakarena paham betapa gembel nya hidup kampretmakanya rela harga diri tukar sama uang buat beli bensin mobil kagak cukup
"Antek asing, PKI, ekonomi amburadul. harga2 naik, raja hutang, plonga-plongo, sekolam,....bla...bla..blaðŸ˜ ðŸ‘†  ""BERISIK LU! Prabowo bilang BUKAN SALAH JOKOWI. Klean lebih Prabowo daripada Prabowo?ðŸ˜‘""  ""ðŸ˜³ðŸ‘†""  #bukansalahbapak pic.twitter.com/U3if7lOyMH",negatif,antek asing pki ekonomi amburadul harga naik raja hutang plongaplongo sekolamblablabla berisik kamu prabowo bilang bukan_salah jokowi klean lebih prabowo prabowo bukansalahbapak pictwittercomuifloymh
Pemahaman tata negara. Pemahaman akan peraturan. Pemahaman akan kebijakan ekonomi. Pemahaman kalau kursi mentri hrs diisi org2 yg kompeten (walau tidak tepat 100%..)  Ketimbang prabowo.. belum apa2 sudah bagi2 jatah kursi menteri untuk parpol2 pendukungnya.,negatif,paham tata negara paham atur paham bijak ekonomi paham kalau kursi tri isi orang kompeten tidak_tepat ketimbang prabowo belum_apa jatah kursi menteri parpol dukung
"Prabowo Nilai Ekonomi RI Salah Arah, Karena para Presiden Sebelum Jokowi  https://goo.gl/fb/Y7EVFhÂ  via @Batlaxcom",netral,prabowo nilai ekonomi ri salah arah presiden jokowi via batlaxcom
"Ga perlu malu akui kegagalan jika mmg janji-janji tak mampu direalisasi, ingat rakyat memilih krn janji, stop impor, tak cabut subsidi, buka lapangan kerja, ekonomi 7 persen, mobil esemka, dll.. tp hasilnya?? NOL.. wajar jika rakyat ingin pemimpin baru. #2019GantiPresiden",positif,tidak_perlu malu aku gagal mmg janjijanji tidak_mampu realisasi ingat rakyat pilih janji stop impor tidak_cabut subsidi buka lapang kerja ekonomi persen mobil esemka hasil nol wajar rakyat pimpin baru gantipresiden
"Pak @jokowi, saya ayah dari 2 orang anak dan 1 orang isteri... Numpang curhat, Pak... Kok harga tiket belum turun-turun ini, Pak... Bagaimana ya? Saya saat ini berdomisili di Makassar namun keluarga saya ada di Jakarta... Mohon bantuan, Pak... Apalagi sebentar lagi hari Raya...",negatif,pak jokowi ayah orang anak orang isteri numpang curhat pak kok harga tiket belum_turunturun pak bagaimana domisili makassar keluarga jakarta mohon bantu pak sebentar hari raya
Komitmen Prabowo-Sandi Tak Akan Ambil Gaji Serupiah Pun Jika Terpilih  https://youtu.be/cFFWKuDHQzMÂ  lewat @YouTube,netral,komitmen prabowosandi tidak_ambil gaji rupiah pilih lewat youtube
"Secara garis besar, jokowi bertanya ekonomi digital, yg di dalamnya ada bisnis games, pembuat game dan pemain game. Klo lbh simplenya anda pasti sering buka playstore. Dan ekonomi digital lainnya masih banyak. Pak jokowi hnya mnyebut salah satunya saja",positif,garis besar jokowi tanya ekonomi digital dalam bisnis games buat game main game klo lbh simplenya sering buka playstore ekonomi digital lain banyak pak jokowi hnya mnyebut salah satu
"Pak Prabowo dan Pak Sandi tidak akan menerima gaji sepeserpun, Masha Allah.  Semuanya akan di wakafkan untuk Rakyat Indonesia. Semoga Prabowo Sandi menjadi pemimpin yang di ridhoâ€™i oleh Allah SWT.  ðŸ˜ŒðŸ™",positif,pak prabowo pak sandi tidak_terima gaji peser masha allah semua wakaf rakyat indonesia moga prabowo sandi jadi pimpin ridho i allah swt
"DENGAN 40JT LEBIH PENGGUNAAN GAME ONLINE. ARTINYA ADA PASAR, ADA KONSUMEN, ADA TRANSAKSI, ADA PULUHAN DEVELOPER GAME YANG BERDIRI, RUBUAN LAPANGAN KERJAADA  PAJAK YANG MASUK. PAJAK YA BUAT APA? BUAT SUBSIDI PERTALITE MOTOR MIO LU! BUAT KJP LU! BUAT KIP LU! NGERTI LU??",positif,jt lebih guna game online arti pasar konsumen transaksi puluh developer game diri rubu lapang kerjaada pajak masuk pajak buat apa buat subsidi pertalite motor mio kamu buat kjp kamu buat kip kamu erti kamu
"Benar sekali Ri Pak Prabowo berani mengkritik presiden sebelumnya yg katanya salah kelola perekonomian,bkn salah Pak Jokowi.jd lanjutkan 2 periode ðŸ˜ƒðŸ˜ƒðŸ˜ƒ",positif,benar sekali ri pak prabowo berani kritik presiden belum_kata salah kelola perekonomianbkn salah pak jokowijd lanjut periode
"Bila Terpipilh, Prabowo-Sandi akan Berikan Seluruh Gajinya untuk Fakir Miskin    https://www.portal-islam.id/2019/04/bila-terpipilh-prabowo-sandi-akan.htmlÂ â€¦ pic.twitter.com/5gFfCzoT0s",netral,bila terpipilh prabowosandi ikan seluruh gaji fakir miskin pictwittercomgffczots
"@sandiuno @prabowo Yth. Pak Prabowo dan pak Sandy, hari hati kami ketika bapak berkomitmen tidak mengambil gaji jika terpilih nanti. Semoga Allah menjadikan Bapak Berdua pemimpin umat, pemimpin bangsa yg amanah, amiin",positif,sandiuno prabowo yth pak prabowo pak sandy hari hati bapak komitmen tidak_ambil gaji pilih moga allah jadi bapak dua pimpin umat pimpin bangsa amanah amiin
"Kalau ngomongin e-sports seharusnya Pak @jokowi sadar kalau harga build PC mahalnya minta ampun. Turunin dollar dulu coba, biar anak2 indo gampang dapat pc bagus.",negatif,kalau ngomongin esports pak jokowi sadar kalau harga build pc mahal minta ampun turunin dollar dulu coba biar anak indonesia gampang pc bagus
Kebijakan Jokowi untuk BBM satu harga merupakan bentuk nyata keadilan sosial bagi rakyat Indonesia. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih,positif,bijak jokowi bbm satu harga rupa bentuk nyata adil sosial rakyat indonesia pilihorangbaik pilihjelasislamnya pilihbajuputih
"Mantan mertuanya ga bisa membela diri mbak. Tabiat itu susah. Sampai kapanpun prabowo ya akan seperti itu. Di atas kepentingan kekuasaan, maka legacy seorang presiden hanyalah persepsi. Dan prabowo tidak akan pernah menghargai hal itu.",positif,mantan mertua tidak_bela diri mbak tabiat susah kapan prabowo atas penting kuasa legacy orang presiden hanya persepsi prabowo tidak_pernah harga
"@KHMarufAmin_ Untuk Indonesia Maju #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.ly/2UB5",netral,khmarufamin indonesia maju pilihorangbaik pilihjelasislamnya pilihbajuputih dulu sekadar tumbuh ekonomi perata zaman pak jokowi bukan_tumbuh ekonomi perata bangun
"Kalau dihargai, masa sudah satu periode bapak Jokowi tidak memberikan jabatan sama loe. Pikirin itu . . . .",negatif,kalau harga masa satu periode bapak jokowi tidak_beri jabat sama kamu pikirin
santun kalo pertumbuhan ekonomi 5% buat apa ?,negatif,santun kalo tumbuh ekonomi buat apa
Seharusnya Pak Prabowo ga boleh ngomong seperti itu.. Presiden dari jaman Soekarno sampai Pak SBY itu semua punya jasa besar bagi negara ini...Harus kita hargai jasa2 beliau.,positif,pak prabowo tidak_bicara presiden jaman soekarno pak sby semua punya jasa besar negara iniharus harga jasa beliau
Jokowi: RI Akan Masuk 4 Besar Kekuatan Ekonomi pada 2045  https://bisnis.tempo.co/read/1195412/jokowi-ri-akan-masuk-4-besar-kekuatan-ekonomi-pada-2045?utm_source=Digital%20Marketing&utm_medium=Facebook&utm_campaign=dlvritÂ â€¦,netral,jokowi ri masuk besar kuat ekonomi
"Insinyur Kehutanan ( bener gak sih??) mau ""ngajari"" Pengusaha Besar yg Doktor dan MBA ttg ekonomi makro. Yang waras sopo ??? Tgl.17/4 datangi ""TPS"" (Tusuk PRABOWO SANDI)",negatif,insinyur hutan bener gak_sih ngajari usaha besar doktor mba ttg ekonomi makro waras sopo tgl datang tps tusuk prabowo sandi
"BPN: Prabowo-Sandi akan bangun 1,5 juta rumah untuk pulihkan ekonomi  https://aceh.antaranews.com/berita/71704/bpn-prabowo-sandi-akan-bangun-15-juta-rumah-untuk-pulihkan-ekonomiÂ â€¦",netral,bpn prabowosandi bangun juta rumah pulih ekonomi
"Aku pilpres nanti pilih Pak Prabowo, alasannya Pak Prabowo piara kucing. Ndak peduli lah tentang pernyataan ttg ekonomi, kesejahreraan, unicorn apa lagi tentang isu isu agama. Pak Jokowi piara kucing ndak sih? Kalo iya aku tak nyoblos 2 2 nya",positif,pilpres pilih pak prabowo alas pak prabowo piara kucing ndak_peduli lah nyata ttg ekonomi kesejahreraan unicorn apa isu isu agama pak jokowi piara kucing ndak_sih kalo iya tidak_nyoblos nya
"Rakyat ingin pekerjaan, pekerjanya diimpor dari China. Rakyat panen padi, berasnya impor. Rakyat ingin sembako murah, suruh tanam sendiri. Petani karet minta kenaikan harga, suruh tanam jengkol...  Jokowi mmg tau kemauan rakyat...   Ya Rabb, semoga otakku masih sehat.",negatif,rakyat kerja kerja impor china rakyat panen padi beras impor rakyat sembako murah suruh tanam sendiri tani karet minta naik harga suruh tanam jengkol jokowi mmg tau mau rakyat rabb moga otak sehat
Harga tas sama harga motor kok mahalan tas.   Jokowi ke mana sih??,netral,harga tas sama harga motor kok mahal tas jokowi mana sih
"Dengan mencoblos prabowo sandi anda telah beramal selama 5 tahun karena gaji prabowo sandi disumbang untuk dhuafa, anak yatim, dll #UASdifitnahKejiBalasDiTPS pic.twitter.com/aoZydw6bu0",positif,coblos prabowo sandi amal lama tahun gaji prabowo sandi sumbang dhuafa anak yatim uasdifitnahkejibalasditps pictwittercomaozydwbu
Kalo aku jd pak SBY udah dr dulu keluar dr koalisi prabowo.. Ngapain koalisi tp tak di anggap.. Kyk ngga punya harga diri saja#PrabowoSalahkanSBY,negatif,kalo jadi pak sby udah dulu keluar koalisi prabowo ngapain koalisi tidak_anggap kyk ngga_punya harga diri sajaprabowosalahkansby
Ekonomi indonesia bisa tumbuh 5% karena pembangunan infrastruktur yang terus dilakukan oleh pak jokowi  https://m.detik.com/finance/berita-ekonomi-bisnis/d-4498993/tanpa-campur-tangan-presiden-ekonomi-ri-bisa-tumbuh-5-benarkahÂ â€¦,positif,ekonomi indonesia tumbuh bangun infrastruktur terus laku pak jokowi
"Yup, nah kalo gini diskusinya enak ya. Tambahan dr sy tidak sekadar ukuran ttp juga kualitasnya atau tingkat prioritasnya. Misal, target pemerataan pembangunan d luar pulau Jawa mgkn mjd prior krn pemerintah ingin menumbuhkan bibit2 pertumbuhan ekonomi yg baru di sana.",positif,yup nah kalo gin diskusi enak tambah tidak_sekadar ukur ttp kualitas tingkat prioritas misal target perata bangun d luar pulau jawa mgkn mjd prior perintah tumbuh bibit tumbuh ekonomi baru sana
